ID,titulo,Duracion,Año,Sinopsis,Genero,Actores,Tipo,Link
1,The Kill Room,97 MINS,2023,A hit man teams up with an art dealer for a money-laundering scheme that unwittingly turns him into an avant-garde sensation.,"COMEDY, SUSPENSE","Starring Uma Thurman, Joe Manganiello, Samuel L. Jackson",Pelicula,https://www.starz.com/us/en/movies/the-kill-room-71632
2,Navy Seals Vs. Zombies,96 MINS,2015,A team of Navy SEALS quickly discovers it is facing a growing horde of zombies when it is sent into a city in Louisiana to find the vice president aft,"ACTION, HORROR","Starring Ed Quinn, Michael Dudikoff, Rick Fox",Pelicula,https://www.starz.com/us/en/movies/navy-seals-vs-zombies-70852
3,Meeting Evil,89 MINS,2012,"John is taken on a murder-fueled ride by a mysterious stranger who transforms the weak-willed, disillusioned husband and father into a hero willing to do anything to protect his family.","CRIME, DRAMA","Starring Samuel L. Jackson, Leslie Bibb, Luke Wilson",Pelicula,https://www.starz.com/us/en/movies/meeting-evil-52015
4,The Black Phone,103 MINS,2022,"Finney is a 13-year-old boy who's being held captive by a sadistic, masked killer. When a disconnected phone on the wall starts to ring, he soon discovers that he can hear the voices of the murderer's previous victims.","HORROR, SUSPENSE","Starring Ethan Hawke, Jeremy Davies, James Ransone",Pelicula,https://www.starz.com/us/en/movies/the-black-phone-64745
5,SuperFly,116 MINS,2018,Cocaine kingpin Youngblood Priest hatches a plan for one last score to get out of the game for good.,"ACTION, CRIME","Starring Trevor Jackson, Jason Mitchell, Michael Kenneth Williams",Pelicula,https://www.starz.com/us/en/movies/superfly-42970
6,Jumanji: The Next Level,123 MINS,2019,A team of friends returns to Jumanji to rescue one of their own and must brave parts unknown in order to escape the world's most dangerous game.,"ACTION, COMEDY","Starring Dwayne Johnson, Kevin Hart, Jack Black",Pelicula,https://www.starz.com/us/en/movies/jumanji-the-next-level-52161
7,Survive,108 MINS,2023,"When their plane crashes on a remote snow-covered mountain, Jane and Paul have to fight for their lives as the only remaining survivors. Together they embark on a harrowing journey out of the wilderness.","ACTION, ADVENTURE","Starring Sophie Turner, Corey Hawkins, Caroline Goodall",Pelicula,https://www.starz.com/us/en/movies/survive-69829
8,Catch .44,93 MINS,2011,A trio of bad girls look to get right with their crime boss by hijacking a shipment of drugs at a secluded diner - but a seriously crazed hitman will,"ACTION, DRAMA","Starring Forest Whitaker, Bruce Willis, Malin Akerman",Pelicula,https://www.starz.com/us/en/movies/catch-44-29602
9,Bad Boys For Life,124 MINS,2020,Detectives Mike Lowrey and Marcus Burnett team up again for another adventure.,"ACTION, COMEDY","Starring Will Smith, Martin Lawrence, Vanessa Hudgens",Pelicula,https://www.starz.com/us/en/movies/bad-boys-for-life-50297
10,John Wick: Chapter 4,169 MINS,2023,"With the price on his head ever increasing, legendary hit man John Wick takes his fight against the High Table global as he seeks out the most powerfu","ACTION, SUSPENSE","Starring Keanu Reeves, Bill Skarsgård, Donnie Yen",Pelicula,https://www.starz.com/us/en/movies/john-wick-chapter-4-66012
11,Farming,107 MINS,2018,"A Nigerian boy, ""farmed out"" by his parents to a white British family, becomes the leader of a skinhead gang.",DRAMA,"Starring Kate Beckinsale, Gugu Mbatha-Raw, Damson Idris",Pelicula,https://www.starz.com/us/en/movies/farming-66519
12,Retribution,91 MINS,2023,"While driving with his kids, a man receives a call from an assailant who claims there is a bomb in the car. Unable to exit the vehicle, he must now follow a series of instructions while trying to figure out how to survive.","ACTION, SUSPENSE","Starring Liam Neeson, Noma Dumezweni, Matthew Modine",Pelicula,https://www.starz.com/us/en/movies/retribution-71360
13,Joy Ride,94 MINS,2023,"Follows four Asian-American friends as they embark on an epic, no-holds-barred journey of bonding, belonging and wild debauchery that reveals the univ",COMEDY,"Starring Ashley Park, Sherry Cola, Stephanie Hsu",Pelicula,https://www.starz.com/us/en/movies/joy-ride-66782
14,Arctic,98 MINS,2018,A man stranded in the Arctic after an airplane crash must decide whether to remain in the relative safety of his makeshift camp or to embark on a dead,"ADVENTURE, DRAMA","Starring Mads Mikkelsen, Maria Smáradóttir",Pelicula,https://www.starz.com/us/en/movies/arctic-57479
15,The Blackening,97 MINS,2023,Seven Black friends who go away for the weekend only to find themselves trapped in a cabin with a killer who has a vendetta. Will their street smarts,"COMEDY, HORROR","Starring Grace Byers, Jermaine Fowler, Antoinette Robertson",Pelicula,https://www.starz.com/us/en/movies/the-blackening-69096
16,The Amityville Moon,92 MINS,2021,A detective hired to find two runaway girls uncovers a horrifying secret at a boarding home run by the church.,"HORROR, SUSPENSE","Starring Trey McCurley, Tuesday Knight, Augie Duke",Pelicula,https://www.starz.com/us/en/movies/the-amityville-moon-68739
17,7 Seconds,96 MINS,2005,"When an experienced thief accidentally makes off with a Van Gogh, his partner is kidnapped by gangsters in pursuit of the painting - now the thief mus","ACTION, SUSPENSE","Starring Wesley Snipes, Tamzin Outhwaite, Pete Lee-Wilson",Pelicula,https://www.starz.com/us/en/movies/7-seconds-49723
18,Amityville Uprising,85 MINS,2022,A sergeant from the Amityville police department must protect his son from zombies after a chemical explosion at a nearby army base releases toxic gas,"HORROR, ACTION","Starring Mike Ferguson, Micah Fitzgerald, Troy Fromin",Pelicula,https://www.starz.com/us/en/movies/amityville-uprising-68737
19,Motives 2: Retribution,93 MINS,2007,A man takes matters into his own hands after his wrongfully-convicted brother is murdered in prison.,"DRAMA, SUSPENSE","Starring Brian J. White, Vivica A. Fox, Drew Sidora",Pelicula,https://www.starz.com/us/en/movies/motives-2-retribution-50116
20,Just Go With It,116 MINS,2011,"An unmarried plastic surgeon tells his girlfriend he's divorcing his abusive wife. When she demands to meet the soon-to-be ex, the doc asks his single","COMEDY, ROMANCE","Starring Adam Sandler, Jennifer Aniston, Nicole Kidman",Pelicula,https://www.starz.com/us/en/movies/just-go-with-it-44132
21,The Craft: Legacy,94 MINS,2020,"An eclectic foursome of aspiring teenage witches get more than they bargained for as they lean into their newfound powers. A sequel to the 1996 film,","DRAMA, FANTASY","Starring Michelle Monaghan, Cailee Spaeny, Gideon Adlon",Pelicula,https://www.starz.com/us/en/movies/the-craft-legacy-62315
22,Smokin' Aces 2: Assassins' Ball,86 MINS,2009,Bloody chaos ensues when a diverse group of killers targets a federal agent.,"ACTION, COMEDY","Starring Tom Berenger, Ernie Hudson, Michael Parks",Pelicula,https://www.starz.com/us/en/movies/smokin-aces-2-assassins-ball-41062
23,The Island,93 MINS,2023,"When his brother is brutally murdered by a ruthless crime boss, an LAPD officer returns home to his native island to solve the murder and seek revenge.","DRAMA, ACTION","Starring Michael Jai White, Jackson Rathbone, Gillian White",Pelicula,https://www.starz.com/us/en/movies/the-island-71164
24,Pixels,105 MINS,2015,A home-theater installer leads a team of old-school arcade champs and a military specialist in a battle against aliens who base their attacks on 1980s,"COMEDY, ACTION","Starring Adam Sandler, Peter Dinklage, Kevin James",Pelicula,https://www.starz.com/us/en/movies/pixels-23908
25,Iron Man 3,130 MINS,2013,"Marvel superhero Tony Stark uses his ingenuity to fight those who destroyed his private world, and soon goes up against his most powerful enemy yet: t","ACTION, COMIC BOOK BASED","Starring Robert Downey Jr., Guy Pearce, Gwyneth Paltrow",Pelicula,https://www.starz.com/us/en/movies/iron-man-3-50495
26,Night Comes On,86 MINS,2018,"Angel LaMere is released from juvenile detention on the eve of her 18th birthday. Haunted by her past, she embarks on a journey with her 10 year-old s",DRAMA,"Starring Dominique Fishback, Tatum Marilyn Hall, James McDaniel",Pelicula,https://www.starz.com/us/en/movies/night-comes-on-65171
27,Aliens Vs. Predator: Requiem,93 MINS,2007,"Warring Alien and Predator races descend on a rural Colorado town, where unsuspecting residents must band together for any chance of survival.","ACTION, SCI-FI","Starring Reiko Aylesworth, Steven Pasquale, John Ortiz",Pelicula,https://www.starz.com/us/en/movies/aliens-vs-predator-requiem-39597
28,"Me, Myself & Irene",116 MINS,2000,"Mild-mannered Charlie, a cop with multiple personality disorder, escorts Irene back to her hometown - and loses his medication on the trip. Soon, Charlie and his aggressive alter ego Hank both fall in love with Irene.",COMEDY,"Starring Jim Carrey, Renee Zellweger, Robert Forster",Pelicula,https://www.starz.com/us/en/movies/me-myself-irene-26062
29,X2: X-Men United,133 MINS,2003,"From Marvel Comics: As Magneto's mutants come close to murdering the president, the military sets up a plan to eradicate Charles Xavier's school - the","ACTION, SCI-FI","Starring Patrick Stewart, Hugh Jackman, Ian McKellen",Pelicula,https://www.starz.com/us/en/movies/x2-x-men-united-49196
30,Life,108 MINS,1999,"In Depression-era Mississippi, two black men are framed for murder and sentenced to life in prison - and they spend the next 60 years bickering, arguing, and planning their big escape.","COMEDY, CRIME","Starring Eddie Murphy, Martin Lawrence, Obba Babatunde",Pelicula,https://www.starz.com/us/en/movies/life-38138
31,Plane,107 MINS,2023,A pilot and an accused murderer must save passengers from dangerous rebels on a war-torn island.,"ACTION, SUSPENSE","Starring Gerard Butler, Mike Colter, Daniella Pineda",Pelicula,https://www.starz.com/us/en/movies/plane-67776
32,How High,93 MINS,2001,"Two Staten Island stoners sprinkle the ashes of a departed buddy into their homegrown pot, and accidentally develop a super-strain weed that makes them smarter - next stop, Harvard!",COMEDY,"Starring Cliff ""Method Man"" Smith, Redman, Lark Voorhies",Pelicula,https://www.starz.com/us/en/movies/how-high-48878
33,How High 2,88 MINS,2019,A pair of stoners embark on a pot-fueled adventure through Atlanta to find their missing weed.,COMEDY,"Starring Lil Yachty , DC Young Fly, Alyssa Goss",Pelicula,https://www.starz.com/us/en/movies/how-high-2-71277
34,Head Count,81 MINS,2023,"After escaping prison, Kat's own revolver is pointed to his head by an unknown assailant. As the empty rounds click away, he tries to remember what ha","ACTION, SUSPENSE","Starring Aaron Jakubenko, Melanie Zanetti, Ryan Kwanten",Pelicula,https://www.starz.com/us/en/movies/head-count-71634
35,Drumline,118 MINS,2002,"A talented street drummer enters college and the esteemed marching band, but his lack of musical schooling and showoff style don't mesh with the group","COMEDY, DRAMA","Starring Orlando Jones, Zoe Saldana, Nick Cannon",Pelicula,https://www.starz.com/us/en/movies/drumline-38845
36,Cinderella,105 MINS,2015,"In this live-action retelling of Disney's animated classic, young Ella escapes from a life of drudgery by way of a fairy godmother whose magic brings","FANTASY, ROMANCE","Starring Lily James, Richard Madden, Cate Blanchett",Pelicula,https://www.starz.com/us/en/movies/cinderella-25208
37,White Boy Rick,111 MINS,2018,"The story of teenager Richard Wershe Jr., who became an undercover informant for the FBI during the 1980s and was ultimately arrested for drug-trafficking and sentenced to life in prison.","CRIME, DRAMA","Starring Matthew McConaughey, Richie Merritt, Bel Powley",Pelicula,https://www.starz.com/us/en/movies/white-boy-rick-39635
38,Proud Mary,89 MINS,2018,Mary is a professional assassin who works for a ruthless gangster in Boston. Her desire to save a 12-year-old boy from the streets soon causes an all-,"ACTION, CRIME","Starring Taraji P. Henson, Neal McDonough, Xander Berkeley",Pelicula,https://www.starz.com/us/en/movies/proud-mary-39055
39,Lazarus,105 MINS,2021,"Brought back from the dead, a vigilante uses his newfound superpowers to battle an evil organization.","ACTION, SCI-FI","Starring Sean Riggs, Costas Mandylor, Shane Brolly",Pelicula,https://www.starz.com/us/en/movies/lazarus-65160
40,Waist Deep,96 MINS,2006,An ex-convict collides with members of a street gang after his car is stolen with his son inside.,"ACTION, SUSPENSE","Starring Tyrese Gibson, Meagan Good, Larenz Tate",Pelicula,https://www.starz.com/us/en/movies/waist-deep-44685
41,50 First Dates,99 MINS,2004,A commitment-averse man finds the love of his life - but her short-term memory condition means she forgets about him every morning! Can the man keep the girl falling in love with him every day?,"COMEDY, DRAMA","Starring Adam Sandler, Drew Barrymore, Rob Schneider",Pelicula,https://www.starz.com/us/en/movies/50-first-dates-48991
42,The Devil You Know,116 MINS,2022,"After a lifetime of trouble, a man has the chance to turn things around with the love and support of his family. As he tries to do right, he finds him",DRAMA,"Starring Michael Ealy, Omar Epps, Michael Beach",Pelicula,https://www.starz.com/us/en/movies/the-devil-you-know-67386
43,Casino,178 MINS,1995,"An intense, violent tale of how organized crime controlled Las Vegas gambling in the 1970s is told via a mob casino boss, his beautiful but unstable w","CRIME, DRAMA","Starring Robert De Niro, Sharon Stone, Joe Pesci",Pelicula,https://www.starz.com/us/en/movies/casino-43838
44,Whipped,82 MINS,2000,"In this raw comedy, three buddies who meet every week to discuss and describe their sexual conquests discover they are all seeing the same woman - set",COMEDY,"Starring Amanda Peet, Brian Van Holt, Zorie Barber",Pelicula,https://www.starz.com/us/en/movies/whipped-68461
45,Hellboy,121 MINS,2019,"Legendary half-demon Hellboy encounters an ancient resurrected sorceress who's out to avenge a past betrayal. Caught in a clash, Hellboy becomes hell-","ACTION, ADVENTURE","Starring David Harbour, Ian McShane, Milla Jovovich",Pelicula,https://www.starz.com/us/en/movies/hellboy-64171
46,Big Daddy,93 MINS,1999,"A lazy law-school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father.","COMEDY, DRAMA","Starring Adam Sandler, Joey Lauren Adams, Jon Stewart",Pelicula,https://www.starz.com/us/en/movies/big-daddy-52017
47,Story Ave,106 MINS,2023,Follows a teenage graffiti artist who ran away from home and holds up an unwary MTA worker in a robbery gone right that would change their lives forev,DRAMA,"Starring Asante Blackk, Luis Guzmán, Melvin Gregg",Pelicula,https://www.starz.com/us/en/movies/story-ave-71636
48,Sisu,91 MINS,2023,"During the last days of World War II, a solitary prospector crosses paths with Nazis on a scorched-Earth retreat in northern Finland.","ACTION, WAR","Starring Jorma Tommila, Aksel Hennie, Jack Doolan",Pelicula,https://www.starz.com/us/en/movies/sisu-69500
49,Annie,118 MINS,2014,"A plucky youngster escapes the clutches of her calculating foster mother and charms her way into the heart of a hard-nosed tycoon, who's running for mayor.","MUSICAL, FAMILY","Starring Jamie Foxx, Quvenzhane Wallis, Rose Byrne",Pelicula,https://www.starz.com/us/en/movies/annie-23885
50,The Hills Have Eyes 2,89 MINS,2007,A group of National Guard trainees find themselves battling against a vicious group of mutants on their last day of training in the desert.,HORROR,"Starring Daniella Alonso, Jacob Vargas, Michael Bailey Smith",Pelicula,https://www.starz.com/us/en/movies/the-hills-have-eyes-2-37822
51,Home Alone,102 MINS,1990,"The original comedy classic! Little Kevin gets left behind when the family leaves for an overseas Christmas vacation, and finds himself outwitting a pair of bumbling burglars in this slapstick riot!","COMEDY, FAMILY","Starring Macaulay Culkin, Joe Pesci, Daniel Stern",Pelicula,https://www.starz.com/us/en/movies/home-alone-36024
52,Ice Age: The Meltdown,90 MINS,2006,"When Manny, Sid and Diego discover that miles of melted ice will soon flood their valley, they must warn everyone and figure out a way to escape the coming deluge.","ANIMATED, COMEDY","Starring Ray Romano, John Leguizamo, Denis Leary",Pelicula,https://www.starz.com/us/en/movies/ice-age-the-meltdown-31168
53,You Don't Mess With the Zohan,112 MINS,2008,"An Israeli commando, skilled in the art of self-defense, fakes his own death and moves to New York and pursue his dream - becoming a hairstylist. But complications ensue when he takes on some neighborhood bullies!","COMEDY, ACTION","Starring Adam Sandler, Robert Smigel, John Turturro",Pelicula,https://www.starz.com/us/en/movies/you-dont-mess-with-the-zohan-28918
54,The Devil Has a Name,97 MINS,2020,A psychotic oil matriarch leaves the whole industry exposed when she attempts to outfight a bullish farmer whose water has been poisoned.,"DRAMA, SUSPENSE","Starring Kate Bosworth, David Strathairn, Edward James Olmos",Pelicula,https://www.starz.com/us/en/movies/the-devil-has-a-name-61370
55,Bloodshot,109 MINS,2020,An unstoppable reanimated soldier embarks on a mission to recover his true memories.,"ACTION, SCI-FI","Starring Vin Diesel, Eiza González, Sam Heughan",Pelicula,https://www.starz.com/us/en/movies/bloodshot-52193
56,Operation Fortune: Ruse de Guerre,113 MINS,2023,MI6 agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale,"ACTION, COMEDY","Starring Jason Statham, Aubrey Plaza, Cary Elwes",Pelicula,https://www.starz.com/us/en/movies/operation-fortune-ruse-de-guerre-69298
57,X-Men: The Last Stand,104 MINS,2006,From Marvel Comics: An all-out war looms when the discovery of a cure for mutations draws a line between the followers of Charles Xavier and those of,"ACTION, SCI-FI","Starring Hugh Jackman, Alan Cumming, Patrick Stewart",Pelicula,https://www.starz.com/us/en/movies/x-men-the-last-stand-38162
58,Amityville: The Awakening,87 MINS,2017,A desperate single mother moves with her three children into the notoriously haunted Amityville house hoping its dark powers might cure her comatose s,"HORROR, SUSPENSE","Starring Jennifer Jason Leigh, Bella Thorne, Cameron Monaghan",Pelicula,https://www.starz.com/us/en/movies/amityville-the-awakening-38047
59,The Perfect Guy,100 MINS,2015,A woman must use every ounce of strength to turn the tables and outwit a sinister ex-lover.,"DRAMA, ROMANCE","Starring Michael Ealy, Sanaa Lathan, Morris Chestnut",Pelicula,https://www.starz.com/us/en/movies/the-perfect-guy-25803
60,Bulletproof,84 MINS,1996,A pair of crooks end their partnership when one is outed as an undercover cop. But--years later--they reluctantly team up again to track down a murder,"ACTION, COMEDY","Starring Damon Wayans, Adam Sandler, James Caan",Pelicula,https://www.starz.com/us/en/movies/bulletproof-40044
61,Maleficent,97 MINS,2014,"Maleficent rises to protect her peaceful forest kingdom from invaders, but a terrible betrayal turns her pure heart to stone and twists her into a cre","DRAMA, FAMILY","Starring Angelina Jolie, Elle Fanning, Juno Temple",Pelicula,https://www.starz.com/us/en/movies/maleficent-23191
62,Three Can Play That Game,90 MINS,2008,"In the sequel to Two Can Play that Game, Fox once again stars as Shante Smith, a relationship expert who uses her knowledge of the male psyche to help","COMEDY, ROMANCE","Starring Vivica A. Fox, Jason George, Jazsmin Lewis",Pelicula,https://www.starz.com/us/en/movies/three-can-play-that-game-10490
63,Funny People,145 MINS,2009,"When seasoned comedian George Simmons learns of his terminal health condition, his desire to form a genuine friendship leads him to mentor a budding p","COMEDY, DRAMA","Starring Adam Sandler, Seth Rogen, Jonah Hill",Pelicula,https://www.starz.com/us/en/movies/funny-people-50264
64,Funny People,145 MINS,2009,"When seasoned comedian George Simmons learns of his terminal health condition, his desire to form a genuine friendship leads him to mentor a budding p","COMEDY, DRAMA","Starring Adam Sandler, Seth Rogen, Jonah Hill",Pelicula,https://www.starz.com/us/en/movies/the-northman-66004
65,The Million Dollar Hotel,122 MINS,2000,"When a media mogul's son purportedly commits suicide by jumping off a roof, an FBI man is sent in to investigate the eccentric residents of the seedy","DRAMA, ART HOUSE","Starring Jeremy Davies, Mel Gibson, Milla Jovovich",Pelicula,https://www.starz.com/us/en/movies/the-million-dollar-hotel-48827
66,No One Lives,86 MINS,2012,A gang of vicious highway killers kidnap a wealthy couple passing through their isolated town - only they didn't count on these tourists being maniaca,"HORROR, SUSPENSE","Starring Luke Evans, Adelaide Clemens, Lee Tergesen",Pelicula,https://www.starz.com/us/en/movies/no-one-lives-30867
67,The Taking of Pelham 123,105 MINS,2009,A subway dispatcher calls on his extensive knowledge of the transit system to outwit hijackers who are threatening to kill passengers unless a ransom,"ACTION, SUSPENSE","Starring Denzel Washington, John Travolta, John Turturro",Pelicula,https://www.starz.com/us/en/movies/the-taking-of-pelham-123-33037
68,Independence Day,144 MINS,1996,"The U.S. President pilots a jet fighter to help defend the planet against a massive alien invasion! A rousing sci-fi action adventure, Oscar-winner fo","SCI-FI, ACTION","Starring Will Smith, Bill Pullman, Jeff Goldblum",Pelicula,https://www.starz.com/us/en/movies/independence-day-38401
